Feature,Importance,Std_x,Mean,Std_y,CV
lf_rf_alpha_plv,0.0,0.0,0.0,0.0,0.0
otel_abs_alpha_power,-0.0002599090318388897,0.0019319127676827234,-1.2932395086637288e-17,1.0,7.732519717351307e+16
lf_alpha_theta_ratio_smoothed,-0.00032488628979859824,0.0021599441375691575,-3.694970024753511e-17,1.0,2.7063819010729576e+16
rf_otel_theta_coherence,-0.00032488628979860935,0.001933005169674285,-2.290881415347177e-16,1.0,4365132098504770.0
lf_otel_alpha_coherence,-0.00038986354775830676,0.0038353098280373555,3.2515736217830896e-16,1.0,3075433978491997.5
otel_abs_theta_power,-0.000519818063677746,0.0025631036937382758,1.66273651113908e-17,1.0,6.0141820023843496e+16
rf_rel_delta_power,-0.0005847953216374657,0.003914306817889284,-1.2932395086637288e-17,1.0,7.732519717351307e+16
rf_abs_alpha_power,-0.0007797270955165802,0.003960948837980029,1.1084910074260534e-17,1.0,9.021273003576525e+16
rf_abs_alpha_power_smoothed,-0.0007797270955165914,0.003246262767198653,-1.66273651113908e-17,1.0,6.0141820023843496e+16
otel_abs_delta_power,-0.0009746588693957392,0.002311035639217503,1.4779880099014046e-17,1.0,6.765954752682393e+16
otel_oter_alpha_coherence,-0.001039636127355459,0.002697925859912504,-6.18907479146213e-17,1.0,1.6157503887002732e+16
lf_abs_delta_power,-0.0011046133853151673,0.00221399935508783,9.237425061883778e-18,1.0,1.082552760429183e+17
rf_otel_alpha_plv,-0.0012345679012345956,0.0030814569724183115,-2.9190263195552735e-16,1.0,3425799874775896.0
lf_abs_theta_power,-0.0012345679012345956,0.0013140837177489874,9.237425061883779e-19,1.0,1.0825527604291828e+18
rf_alpha_theta_ratio_smoothed,-0.0017543859649123083,0.0022518159130816636,2.863601769183971e-17,1.0,3.492105678803816e+16
rf_rel_alpha_power_smoothed,-0.0021442495126705817,0.003800475325767314,9.237425061883778e-18,0.9999999999999999,1.0825527604291829e+17
lf_oter_theta_plv,-0.0022092267706303125,0.0022732755925322836,-9.606922064359129e-17,1.0,1.0409161157972914e+16
oter_abs_theta_power,-0.0024041585445094384,0.002949853011778081,6.9280687964128336e-18,1.0,1.443403680572244e+17
